1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
1.8779,2.651,2.2211,2.1688,2.5758,2.2895,2.1188,2.1547,2.2329,2.454,2.1062,2.5189,2.3722,2.016,2.3907,2.3887,2.1643,1.8506,1.8333,2.3551,2.0417,1.7152,1.8401,1.6361,2.0342,1.9936,2.1201,2.1394,2.2583,2.2382,1.9946,2.1613,2.0147,1.8782,2.0341,2.0244,2.105,2.0316,1.9373,1.809
1.301,2.2902,2.3023,2.1251,1.706,3.0499,2.8351,2.8746,1.8457,1.8592,2.1523,2.1389,1.7522,2.4429,2.1737,1.7489,2.0752,1.9196,2.0002,1.6967,2.1148,1.5522,1.6482,1.301,2.1274,2.1187,1.9037,1.6073,2.3606,2.1789,1.671,1.301,2.5074,2.1,1.301,1.4943,1.9621,2.3884,1.8262,1.5647
1.9504,2.4366,3.0451,2.9937,2.5136,2.916,2.8867,2.7438,3.071,3.0837,3.095,2.9529,3.0468,2.9643,3.0695,3.1503,3.0877,2.6165,2.6297,2.617,2.8629,2.159,2.8958,2.9342,2.8335,2.8344,2.7569,2.7755,2.853,2.6824,2.9199,2.6138,2.7866,2.7405,2.7356,2.8395,2.6171,2.6429,2.6976,2.8567
2.7651,2.4275,2.4381,2.2536,2.9066,2.4182,2.364,2.5739,2.5213,2.4039,2.4971,2.4172,2.6733,2.9993,1.6858,2.6445,2.3357,2.7092,1.9428,2.1132,2.2769,2.4639,2.1501,2.6116,1.9309,2.0219,1.7983,1.9983,1.7415,2.2035,2.3812,3.0706,2.2717,2.4413,2.0326,2.0642,2.0959,2.7344,2.7871,2.8561
2.3835,2.8187,2.4627,2.6757,2.5784,2.2479,2.6431,2.6606,2.5282,2.8888,2.7147,2.8519,2.5828,2.4525,2.8661,2.6201,2.607,1.871,2.3373,1.9358,1.8194,2.5445,1.6192,1.867,2.4305,2.3803,2.5413,2.2258,2.4647,2.243,2.2949,1.9734,2.2185,2.249,2.4892,2.5509,2.4308,1.7799,1.9367,1.8966
1.935,2.2285,1.9712,2.1205,2.2002,1.9798,1.9845,1.9813,2.0556,2.0989,1.8194,2.194,2.0914,2.2292,2.07,2.1907,1.9623,1.7731,1.8167,1.8749,1.6983,1.6405,1.6051,1.961,1.8638,1.6589,1.7,1.7196,1.83,1.692,1.8238,1.9079,1.5059,1.8378,1.8862,1.9319,1.8142,1.862,1.8647,1.9391
1.8055,2.1744,2.289,2.4649,2.3675,2.0444,2.237,1.8752,2.1044,2.2527,2.3186,2.2998,1.9286,2.3591,1.9653,1.9287,2.0935,1.882,1.9185,1.9137,2.0282,2.3885,1.8936,1.6626,1.9057,1.7936,1.7163,1.7517,2.0078,1.7677,1.9068,1.5848,1.4449,1.7512,1.9669,1.9845,1.7883,1.9216,1.6941,1.8035
1.49,2.1065,1.4363,1.4841,1.9591,1.5476,1.4046,1.479,1.5016,1.6796,1.301,1.6613,1.6899,2.02,1.5764,1.6654,1.5412,1.301,1.301,1.5673,1.374,1.5169,1.301,1.5969,1.4345,1.301,1.301,1.3678,1.419,1.3506,1.3972,1.622,1.301,1.301,1.301,1.301,1.5559,1.4606,1.3664,1.4634
1.9499,2.0915,2.0414,1.9781,1.8975,2.1027,2.1692,2.2385,2.0721,2.0401,2.1372,1.9683,2.1819,1.952,2.1571,2.176,2.0642,1.6444,2.0941,1.7564,1.678,1.5255,1.6532,1.8341,1.8761,1.8483,1.8628,1.8819,1.9318,2.0524,1.7264,1.9438,1.8981,1.9045,1.7855,1.6816,1.7416,1.692,1.7507,2.0239
1.985,2.1374,2.2328,2.3643,1.9562,2.1981,2.3605,2.4131,2.274,2.3826,2.3763,2.3447,2.2311,2.3857,2.4576,2.4319,2.301,1.7356,2.1804,1.7912,1.9543,1.9278,1.8895,1.9909,2.0742,1.9991,2.0894,1.8345,2.2672,2.0752,1.8871,1.8747,1.9981,1.9154,2.0457,2.1093,1.9912,1.8127,1.9529,1.901
